Room No,"  ลักษณะของความเสียหายที่พบ (เลือกได้มากกว่า 1 ข้อ)  
Types of damage found (more than one option may be selected)",Image Link,Damage Types
179,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",,ผนังแตกร้าว  / Cracked wall
179,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",,กระเบื้องหลุด/แตก  Tile loose/broken
179,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",,ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows
575,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1cM5PMGDDMqRZKjNS5guojsbNNx_pt_Zn, https://drive.google.com/open?id=1ftOJAP9J8V6t-Zbvet6K1Q0M1GLgJTD8, https://drive.google.com/open?id=1vK3KZb8kGQJtZ0mHuvA1UDqzrJT3AfGq, https://drive.google.com/open?id=1pPJQXRMYpTsI7GTze1G7CLoy09Z90XGT, https://drive.google.com/open?id=19DvHYM3OYPPKR_U0WLRZzJ_fT7DkxNiy, https://drive.google.com/open?id=1YxVDGaEp7jKDrTOVSbYdDiOm_-yxFJVD, https://drive.google.com/open?id=1YuNjTwhYHI-UCkL5S0tCdNo4nq9QVDvM, https://drive.google.com/open?id=1mxjbzzVBMpcb6fIJzfd4iecTM9AHF3M7, https://drive.google.com/open?id=19Ab82c0cVFEMax9s1XpImevN0sGMxXEf",ผนังแตกร้าว  / Cracked wall
575,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1cM5PMGDDMqRZKjNS5guojsbNNx_pt_Zn, https://drive.google.com/open?id=1ftOJAP9J8V6t-Zbvet6K1Q0M1GLgJTD8, https://drive.google.com/open?id=1vK3KZb8kGQJtZ0mHuvA1UDqzrJT3AfGq, https://drive.google.com/open?id=1pPJQXRMYpTsI7GTze1G7CLoy09Z90XGT, https://drive.google.com/open?id=19DvHYM3OYPPKR_U0WLRZzJ_fT7DkxNiy, https://drive.google.com/open?id=1YxVDGaEp7jKDrTOVSbYdDiOm_-yxFJVD, https://drive.google.com/open?id=1YuNjTwhYHI-UCkL5S0tCdNo4nq9QVDvM, https://drive.google.com/open?id=1mxjbzzVBMpcb6fIJzfd4iecTM9AHF3M7, https://drive.google.com/open?id=19Ab82c0cVFEMax9s1XpImevN0sGMxXEf",เพดานหลุด/แตกร้าว  Ceiling falling/cracked
575,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1cM5PMGDDMqRZKjNS5guojsbNNx_pt_Zn, https://drive.google.com/open?id=1ftOJAP9J8V6t-Zbvet6K1Q0M1GLgJTD8, https://drive.google.com/open?id=1vK3KZb8kGQJtZ0mHuvA1UDqzrJT3AfGq, https://drive.google.com/open?id=1pPJQXRMYpTsI7GTze1G7CLoy09Z90XGT, https://drive.google.com/open?id=19DvHYM3OYPPKR_U0WLRZzJ_fT7DkxNiy, https://drive.google.com/open?id=1YxVDGaEp7jKDrTOVSbYdDiOm_-yxFJVD, https://drive.google.com/open?id=1YuNjTwhYHI-UCkL5S0tCdNo4nq9QVDvM, https://drive.google.com/open?id=1mxjbzzVBMpcb6fIJzfd4iecTM9AHF3M7, https://drive.google.com/open?id=19Ab82c0cVFEMax9s1XpImevN0sGMxXEf",กระเบื้องหลุด/แตก  Tile loose/broken
765,"ผนังแตกร้าว  / Cracked wall, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",https://drive.google.com/open?id=1EZBgU8xz7km2HUOnDesFV_0DmD1rQlF0,ผนังแตกร้าว  / Cracked wall
765,"ผนังแตกร้าว  / Cracked wall, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",https://drive.google.com/open?id=1EZBgU8xz7km2HUOnDesFV_0DmD1rQlF0,ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows
1004,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1KnteaPi5cwJDFiUOHYOVtv0s5-c3-Z1N, https://drive.google.com/open?id=1BwghrE5cJIOn5JHYwsACpYSfZKvqV4ii, https://drive.google.com/open?id=1Qeaq9UaFPQnpZ9JGGTDhxmD2-T95MzXl, https://drive.google.com/open?id=1Bkb4ICMvcBczzF6MZ-IWNZGqrZy69TTK, https://drive.google.com/open?id=13PQJqMGddhi5x63gRUIwss8DYQqPIbgq, https://drive.google.com/open?id=15PkEN-tktpDOlrJ9yCUjAQf4HrJKxeYy",ผนังแตกร้าว  / Cracked wall
